sample  longitude  latitude
CAL1    -81.21466  8.78911
CAL2    -81.21466  8.78911 
CAL3    -81.21466  8.78911
CAL4    -81.21466  8.78911
CEI1    -80.60664  8.80835
CEI2    -80.60664  8.80835
CEI3    -80.60664  8.80835
CEI4    -80.60664  8.80835
CEI5    -80.60664  8.80835
CEI7    -80.60664  8.80835
CEI8    -80.60664  8.80835
EMP1    -81.21391  8.76114 
EMP2    -81.21391  8.76114
EMP3    -81.21391  8.76114
EMP4    -81.21391  8.76114
EMP5    -81.21391  8.76114
LOM1    -81.15781  8.54182
LOM2    -81.15781  8.54182
LOM3    -81.15781  8.54182
LOM4    -81.15781  8.54182

